split,field,records_nonempty,records_total,coverage_percent,unique_labels
train,Body_system_level,218342,218402,99.9725,9
train,Organ_level,217670,218402,99.6648,52
train,Diagnosis,109122,218402,49.9638,5
train,Shape,16401,218402,7.5095,7
train,Margins,4050,218402,1.8544,2
train,Echogenicity,37734,218402,17.2773,5
train,InternalCharacteristics,35838,218402,16.4092,5
train,PosteriorAcoustics,5151,218402,2.3585,2
train,Vascularity,17487,218402,8.0068,5
valid,Body_system_level,73957,74044,99.8825,9
valid,Organ_level,73957,74044,99.8825,50
valid,Diagnosis,38799,74044,52.3999,5
valid,Shape,7041,74044,9.5092,7
valid,Margins,2025,74044,2.7349,2
valid,Echogenicity,15321,74044,20.6918,5
valid,InternalCharacteristics,12657,74044,17.0939,5
valid,PosteriorAcoustics,2325,74044,3.14,2
valid,Vascularity,5007,74044,6.7622,5
test,Body_system_level,71700,71919,99.6955,9
test,Organ_level,71700,71919,99.6955,49
test,Diagnosis,34947,71919,48.5922,5
test,Shape,6120,71919,8.5096,7
test,Margins,2013,71919,2.799,2
test,Echogenicity,14088,71919,19.5887,5
test,InternalCharacteristics,10833,71919,15.0628,5
test,PosteriorAcoustics,2874,71919,3.9962,2
test,Vascularity,5499,71919,7.6461,5
